Concept	Tag	Languages	Families
SEPARATE		429	70
CROSS		279	60
ROW		308	63
IRRIGATE		110	16
KNOCK		191	19
BURN (SOMETHING)		411	83
RETREAT		235	48
PULL OFF (SKIN)		287	60
FOX		333	69
OLDER BROTHER (OF WOMAN)		90	60
OLDER BROTHER (OF MAN)		93	60
OLDER SISTER (OF WOMAN)		80	59
OLDER SISTER (OF MAN)		82	59
EYELID		248	61
PLATE		398	66
POT		243	45
SPIDER WEB		251	52
THIGH		114	6
BALD		256	63
ROUGH		345	108
SMOOTH		500	130
BEND (SOMETHING)		164	18
SHINE		356	72
YOUNGER BROTHER (OF WOMAN)		124	60
YOUNGER BROTHER (OF MAN)		93	60
YOUNGER SISTER (OF WOMAN)		82	60
YOUNGER SISTER (OF MAN)		118	60
EVIL		226	18
HEALTHY		315	73
GUILTY		191	44
HOLY		190	45
APPROACH		245	58
LIMP		247	59
HURRY		311	74
STUDY		226	52
PAINTING		285	69
UNDERSTAND		350	71
SOUND (OF INSTRUMENT OR VOICE)		135	16
PREPARE		161	17
LEND		240	55
EARN		199	47
SHARE		248	61
OWN		273	62
SUSPECT		192	42
ACCUSE		211	49
DENY		295	50
ADJUDICATE		266	40
TALK		107	22
WHISPER		257	59
THREATEN		307	52
ADMIT		210	47
FORGIVE		267	57
GIVE BACK		275	53
SURRENDER		184	35
BETRAY		238	48
COMMAND		245	57
FORBID		225	52
FORTY		165	18
FIFTY		163	17
SIXTY		132	18
SEVENTY		162	18
EIGHTY		160	18
NINETY		129	17
THIRD		270	55
LAST (FINAL)		426	74
PAIR		247	56
NOTHING		85	62
ENVY	emotion	253	59
GRIEF	emotion	393	69
WOUND		379	75
PAIN	emotion	380	73
FEVER		383	67
COMMON COLD (DISEASE)		344	58
WORM		501	81
PHYSICIAN		329	67
DEATH		208	17
TEMPLE		255	47
IDOL		212	41
OATH		189	28
SACRIFICE		300	44
FAULT		272	59
THIN (OF SHAPE OF OBJECT)		333	78
TOWN		489	69
THATCH		234	49
RAFTER		211	46
POST		366	69
FLOOR		327	70
PARROT		408	67
VULTURE		320	58
FUR		326	76
KID		196	37
BOAR (MALE PIG)		241	49
NIT		247	54
BEEHIVE		222	51
HOWL		272	64
SNIFF		227	54
STING		84	16
MISS (A TARGET)		218	57
TRAP (CATCH)		197	45
BLOOD VESSEL		246	62
SKULL		268	57
TEMPLES		203	49
NOSTRIL		243	61
MOLAR TOOTH		227	50
NIPPLE	human body part	281	101
SPLEEN		194	43
SHOULDERBLADE		227	55
TOE	human body part	523	121
EARWAX		210	47
BE BORN		406	72
CONCEIVE		204	50
HICCOUGH		256	61
GROAN		370	66
BEGIN		165	35
BLACKSMITH		279	38
CAMEL		184	33
CARRY ON HEAD		207	51
CARVE		226	49
CASSAVA		298	57
CHIEFTAIN		472	79
MEAL		293	65
SICKLE OR SCYTHE		297	42
SLAVE		385	54
SPRING OR WELL		271	68
TRAP (PITFALL)		420	69
WORLD		356	70
UPPER ARM		92	67
VULVA		229	70
PEOPLE		374	78
BABY		391	70
SWAMP		322	74
WATERFALL		265	56
HAMMOCK		117	31
FISHHOOK		417	70
PADDLE		283	59
CLUB		277	62
JAGUAR		116	29
HUMMINGBIRD		110	25
SAP		360	62
RATTLE		244	62
LOWER ARM		94	68
LOWER LEG		102	70
UP		361	82
ISLAND		386	75
YAM		360	42
NETBAG		275	48
LOINCLOTH		126	10
NECKLACE		306	67
THATCH OR ROOF		36	17
BEAD		366	65
FISHING LINE		274	53
ALLIGATOR		15	10
FISH TRAP		197	55
BEESWAX		244	51
SCARED	emotion	152	55
AIR		306	96
CRUSH		133	53
FLESH		415	119
LIGHT (COLOR)		262	100
TASTE		143	72
THEN		132	64
BECAUSE		309	99
PART		321	93
QUIET		202	71
PRECIPICE		236	59
PLAIN		291	61
VALLEY		270	53
MAINLAND		216	45
SHORE		342	66
OCEAN		196	50
WAVE		292	71
WHIRLPOOL		204	50
STONE OR ROCK		272	70
EARTHQUAKE		265	57
BOLT (OF LIGHTNING)		229	56
STORM		305	59
DARKNESS		415	66
EMBERS		326	64
MALE (OF PERSON)		258	64
FEMALE (OF PERSON)		251	61
YOUNG WOMAN		281	62
MARRIAGE OR WEDDING		168	38
DIVORCE		291	47
PARENTS		276	59
MARRIED MAN		189	51
MARRIED WOMAN		193	52
BROTHER		369	72
SISTER		374	70
PATERNAL UNCLE (FATHER'S BROTHER)		223	58
AUNT		384	63
COUSIN		226	56
DESCENDANTS		207	50
SON-IN-LAW (OF MAN)		248	61
SON-IN-LAW (OF WOMAN)		222	58
DAUGHTER-IN-LAW (OF MAN)		239	59
DAUGHTER-IN-LAW (OF WOMAN)		217	56
STEPFATHER		217	50
STEPSON		204	45
STEPDAUGHTER		194	41
WIDOWER		254	58
RELATIVES		348	62
MALE (OF ANIMAL)		231	57
FEMALE (OF ANIMAL)		234	60
LIVESTOCK		200	48
PASTURE		253	53
HERDSMAN		202	48
RAM		269	43
EWE		195	41
LAMB		193	43
MALE GOAT		243	39
FOAL		203	47
HERON		213	57
FIN		210	48
SANDFLY		203	50
DANDRUFF		203	49
EARLOBE		182	44
BEAK		248	61
COLLARBONE		190	48
UDDER		272	48
WOMB		313	59
BREATH OR BREATHE		228	56
DRIBBLE		207	51
BEGET		206	52
BE ALIVE OR LIFE		231	60
DROWNED		199	49
MIGHTY OR POWERFUL OR STRONG		232	59
BRUISE		299	48
SWELLING		254	66
BLISTER		226	51
SCAR		234	61
FAMINE		210	53
CHOKE		237	57
ROAST OR FRY		260	67
BAKE		273	64
OVEN		216	42
KETTLE		266	56
SAUCER		180	38
KNIFE (FOR EATING)		252	65
FORK		243	55
SIEVE OR STRAIN		256	57
