Concept	Frequency	Family	Tag	Random_Walk_Community	Random_Walk_Links	Language_Count	Language_Count_Weighted	Cognate_Count	Cognate_Count_Weighted
MOUTH	137	Sino-Tibetan	human body part	7	CHEEK:0.04;CHIN:0.13;EAR:0.01;FACE:0.14;HEAD:0.02;JAW:0.05;LIP:0.41	LIP:2.00;FACE:2.00	LIP:0.00;FACE:0.00	FACE:2.00	FACE:0.00
NOSE	137	Sino-Tibetan	human body part	8	EAR:0.02;FACE:0.01;HEAD:0.08	HEAD:1.00	HEAD:0.00	HEAD:1.00	HEAD:0.00
EAR	138	Sino-Tibetan	human body part	8	MOUTH:0.01;NOSE:0.02				
HEAD	139	Sino-Tibetan	human body part	8	KNEE:0.01;LIP:0.01;MOUTH:0.02;NECK:0.01;NOSE:0.08;TOOTH:0.01	NOSE:1.00	NOSE:0.00	NOSE:1.00	NOSE:0.00
TONGUE	139	Sino-Tibetan	human body part	4	FOOT:0.03;ARM:0.01;HAND:0.02;LEG:0.04;NAVEL:0.01;TOOTH:0.01	LEG:1.00	LEG:0.00	LEG:1.00	LEG:0.00
GREEN	14	Arawakan	color	2	BLACK:0.26;BLUE:1.02	BLUE:3.00	BLUE:0.18	BLUE:3.00	BLUE:0.18
BREAST	14	Arawakan	human body part	1	NIPPLE:1.78	NIPPLE:1.00	NIPPLE:0.04	NIPPLE:1.00	NIPPLE:0.04
NOSE	14	Arawakan	human body part	12	MOUTH:0.81				
WRIST	14	Tucanoan	human body part	3	KNEE:1.00;ELBOW:2.25	ELBOW:1.00	ELBOW:0.01	ELBOW:1.00	ELBOW:0.01
BELLY	14	Uralic	human body part	6	EYE:0.01				
EYE	141	Sino-Tibetan	human body part	6	FACE:0.01;TOOTH:0.01				
BAD	142	Sino-Tibetan	emotion	4	GRIEF:0.01;PAIN:0.01;LOVE:0.01;PROUD:0.02				
GOOD	145	Sino-Tibetan	emotion	2	GRIEF:0.01;SHAME:0.01;PAIN:0.01;HAPPY:0.03;LOVE:0.01;LIKE:0.06;WANT:0.01	LIKE:1.00	LIKE:0.00	LIKE:1.00	LIKE:0.00
BLACK	15	Arawakan	color	2	BLUE:0.59;WHITE:0.04;GREEN:0.26	BLUE:1.00	BLUE:0.02	BLUE:1.00	BLUE:0.02
RED	15	Arawakan	color	1					
WHITE	15	Arawakan	color	2	BLACK:0.04				
GOOD	15	Arawakan	emotion	6					
BACK	15	Arawakan	human body part	5					
EAR	15	Arawakan	human body part	8					
EYE	15	Arawakan	human body part	9					
